Timeseries computed from GloSAT.prelim01_reqSD_alternativegrid-178101-201912
Units: K anomalies from 1961-1990 reference period mean
Missing value:      -9.99900

 Year Month   Global      NH      SH
  1802     3  -9.999  -0.030  -9.999
  1802     4  -9.999   0.071  -9.999
  1802     5  -9.999  -1.339  -9.999
  1802     6  -9.999  -0.450  -9.999
  1802     7  -9.999  -1.004  -9.999
  1802     8  -9.999   1.533  -9.999
  1802     9  -9.999  -0.112  -9.999
  1802    10  -9.999   1.217  -9.999
  1802    11  -9.999  -1.106  -9.999
  1802    12  -9.999  -0.471  -9.999
  1803     1  -9.999  -5.192  -9.999
  1803     2  -9.999  -3.054  -9.999
  1803     3  -9.999  -1.060  -9.999
  1803     4  -9.999   1.817  -9.999
  1803     5  -9.999  -0.956  -9.999
  1803     6  -9.999  -0.671  -9.999
  1803     7  -9.999   1.037  -9.999
  1803     8  -9.999   0.992  -9.999
  1803     9  -9.999  -1.565  -9.999
  1803    10  -9.999  -1.139  -9.999
  1803    11  -9.999  -1.277  -9.999
  1803    12  -9.999  -2.036  -9.999
  1804     1  -9.999   1.455  -9.999
  1804     2  -9.999  -1.920  -9.999
  1804     3  -9.999  -2.964  -9.999
  1804     4  -9.999  -0.647  -9.999
  1804     5  -9.999   0.964  -9.999
  1804     6  -9.999   0.254  -9.999
  1804     7  -9.999   0.342  -9.999
  1804     8  -9.999   0.062  -9.999
  1804     9  -9.999   1.174  -9.999
  1804    10  -9.999  -0.089  -9.999
  1804    11  -9.999  -2.131  -9.999
  1804    12  -9.999  -4.170  -9.999
  1805     1  -9.999  -2.683  -9.999
  1805     2  -9.999  -1.990  -9.999
  1805     3  -9.999  -0.805  -9.999
  1805     4  -9.999  -1.456  -9.999
  1805     5  -9.999  -1.475  -9.999
  1805     6  -9.999  -1.805  -9.999
  1805     7  -9.999  -0.200  -9.999
  1805     8  -9.999   0.012  -9.999
  1805     9  -9.999   0.869  -9.999
  1805    10  -9.999  -3.782  -9.999
  1805    11  -9.999  -2.804  -9.999
  1805    12  -9.999  -0.623  -9.999
  1806     1  -9.999   1.114  -9.999
  1806     2  -9.999  -0.156  -9.999
  1806     3  -9.999  -1.541  -9.999
  1806     4  -9.999  -2.196  -9.999
  1806     5  -9.999   0.676  -9.999
  1806     6  -9.999  -1.206  -9.999
  1806     7  -9.999  -1.113  -9.999
  1806     8  -9.999   0.190  -9.999
  1806     9  -9.999   1.119  -9.999
  1806    10  -9.999  -0.901  -9.999
  1806    11  -9.999  -0.229  -9.999
  1806    12  -9.999   1.317  -9.999
  1807     1  -9.999  -0.477  -9.999
  1807     2  -9.999   0.532  -9.999
  1807     3  -9.999  -1.687  -9.999
  1807     4  -9.999  -1.678  -9.999
  1807     5  -9.999  -0.489  -9.999
  1807     6  -9.999  -0.762  -9.999
  1807     7  -9.999   0.871  -9.999
  1807     8  -9.999   2.533  -9.999
  1807     9  -9.999  -1.120  -9.999
  1807    10  -9.999  -0.141  -9.999
  1807    11  -9.999  -0.539  -9.999
  1807    12  -9.999   0.021  -9.999
  1808     1  -9.999  -0.359  -9.999
  1808     2  -9.999  -1.757  -9.999
  1808     3  -9.999  -3.889  -9.999
  1808     4  -9.999  -2.308  -9.999
  1808     5  -9.999   0.581  -9.999
  1808     6  -9.999  -0.163  -9.999
  1808     7  -9.999   1.072  -9.999
  1808     8  -9.999   0.903  -9.999
  1808     9  -9.999   0.479  -9.999
  1808    10  -9.999  -1.311  -9.999
  1808    11  -9.999  -1.429  -9.999
  1808    12  -9.999  -4.086  -9.999
  1809     1  -9.999  -3.672  -9.999
  1809     2  -9.999  -0.406  -9.999
  1809     3  -9.999  -2.230  -9.999
  1809     4  -9.999  -2.893  -9.999
  1809     5  -9.999   0.146  -9.999
  1809     6  -9.999  -0.444  -9.999
  1809     7  -9.999  -0.567  -9.999
  1809     8  -9.999   0.394  -9.999
  1809     9  -9.999  -0.178  -9.999
  1809    10  -9.999  -1.201  -9.999
  1809    11  -9.999  -2.566  -9.999
  1809    12  -9.999   0.305  -9.999
  1810     1  -9.999  -1.287  -9.999
  1810     2  -9.999  -1.521  -9.999
  1810     3  -9.999  -1.223  -9.999
  1810     4  -9.999  -2.089  -9.999
  1810     5  -9.999  -1.994  -9.999
  1810     6  -9.999  -1.801  -9.999
  1810     7  -9.999  -0.626  -9.999
  1810     8  -9.999  -0.520  -9.999
  1810     9  -9.999   0.236  -9.999
  1810    10  -9.999  -1.340  -9.999
  1810    11  -9.999  -1.538  -9.999
  1810    12  -9.999  -0.216  -9.999
  1811     1  -9.999  -3.096  -9.999
  1811     2  -9.999  -1.082  -9.999
  1811     3  -9.999   0.338  -9.999
  1811     4  -9.999  -0.765  -9.999
  1811     5  -9.999   1.427  -9.999
  1811     6  -9.999   1.409  -9.999
  1811     7  -9.999   0.764  -9.999
  1811     8  -9.999  -0.186  -9.999
  1811     9  -9.999  -0.735  -9.999
  1811    10  -9.999   0.019  -9.999
  1811    11  -9.999  -0.500  -9.999
  1811    12  -9.999  -0.218  -9.999
  1812     1  -9.999  -1.832  -9.999
  1812     2  -9.999  -0.632  -9.999
  1812     3  -9.999  -1.980  -9.999
  1812     4  -9.999  -2.748  -9.999
  1812     5  -9.999  -1.066  -9.999
  1812     6  -9.999  -0.489  -9.999
  1812     7  -9.999  -0.582  -9.999
  1812     8  -9.999   0.390  -9.999
  1812     9  -9.999  -1.838  -9.999
  1812    10  -9.999  -0.129  -9.999
  1812    11  -9.999  -2.300  -9.999
  1812    12  -9.999  -4.960  -9.999
  1813     1  -9.999  -3.573  -9.999
  1813     2  -9.999   0.531  -9.999
  1813     3  -9.999  -1.621  -9.999
  1813     4  -9.999   0.160  -9.999
  1813     5  -9.999  -0.563  -9.999
  1813     6  -9.999  -0.877  -9.999
  1813     7  -9.999  -0.246  -9.999
  1813     8  -9.999  -0.659  -9.999
  1813     9  -9.999  -0.116  -9.999
  1813    10  -9.999  -1.472  -9.999
  1813    11  -9.999   0.182  -9.999
  1813    12  -9.999  -0.977  -9.999
  1814     1  -9.999  -4.082  -9.999
  1814     2  -9.999  -3.940  -9.999
  1814     3  -9.999  -2.506  -9.999
  1814     4  -9.999   0.227  -9.999
  1814     5  -9.999  -2.803  -9.999
  1814     6  -9.999  -1.209  -9.999
  1814     7  -9.999   0.311  -9.999
  1814     8  -9.999  -0.332  -9.999
  1814     9  -9.999  -1.387  -9.999
  1814    10  -9.999  -2.028  -9.999
  1814    11  -9.999  -0.463  -9.999
  1814    12  -9.999   0.596  -9.999
  1815     1  -9.999  -2.715  -9.999
  1815     2  -9.999  -0.118  -9.999
  1815     3  -9.999  -0.406  -9.999
  1815     4  -9.999  -0.616  -9.999
  1815     5  -9.999  -0.426  -9.999
  1815     6  -9.999  -0.940  -9.999
  1815     7  -9.999  -1.649  -9.999
  1815     8  -9.999  -0.572  -9.999
  1815     9  -9.999  -0.739  -9.999
  1815    10  -9.999  -0.544  -9.999
  1815    11  -9.999  -1.403  -9.999
  1815    12  -9.999  -3.015  -9.999
  1816     1  -9.999  -0.332  -9.999
  1816     2  -9.999  -3.536  -9.999
  1816     3  -9.999  -2.197  -9.999
  1816     4  -9.999  -0.956  -9.999
  1816     5  -9.999  -2.329  -9.999
  1816     6  -9.999  -1.241  -9.999
  1816     7  -9.999  -1.307  -9.999
  1816     8  -9.999  -1.714  -9.999
  1816     9  -9.999  -0.749  -9.999
  1816    10  -9.999  -1.268  -9.999
  1816    11  -9.999  -1.350  -9.999
  1816    12  -9.999  -1.846  -9.999
  1817     1  -9.999   1.616  -9.999
  1817     2  -9.999   1.227  -9.999
  1817     3  -9.999  -1.351  -9.999
  1817     4  -9.999  -2.198  -9.999
  1817     5  -9.999  -0.954  -9.999
  1817     6  -9.999  -0.549  -9.999
  1817     7  -9.999  -0.797  -9.999
  1817     8  -9.999  -0.315  -9.999
  1817     9  -9.999  -0.619  -9.999
  1817    10  -9.999  -3.404  -9.999
  1817    11  -9.999  -0.827  -9.999
  1817    12  -9.999  -4.090  -9.999
  1818     1  -9.999   0.283  -9.999
  1818     2  -9.999  -1.405  -9.999
  1818     3  -9.999  -0.432  -9.999
  1818     4  -9.999  -0.602  -9.999
  1818     5  -9.999  -1.340  -9.999
  1818     6  -9.999   0.193  -9.999
  1818     7  -9.999   0.820  -9.999
  1818     8  -9.999  -0.920  -9.999
  1818     9  -9.999  -0.336  -9.999
  1818    10  -9.999  -0.574  -9.999
  1818    11  -9.999  -0.424  -9.999
  1818    12  -9.999  -0.274  -9.999
  1819     1  -9.999   1.228  -9.999
  1819     2  -9.999  -0.452  -9.999
  1819     3  -9.999  -0.328  -9.999
  1819     4  -9.999  -0.502  -9.999
  1819     5  -9.999  -0.706  -9.999
  1819     6  -9.999   0.551  -9.999
  1819     7  -9.999   0.391  -9.999
  1819     8  -9.999   0.789  -9.999
  1819     9  -9.999   0.707  -9.999
  1819    10  -9.999  -0.356  -9.999
  1819    11  -9.999  -2.034  -9.999
  1819    12  -9.999  -3.157  -9.999
  1820     1  -9.999  -3.452  -9.999
  1820     2  -9.999  -1.075  -9.999
  1820     3  -9.999  -0.854  -9.999
  1820     4  -9.999   0.614  -9.999
  1820     5  -9.999   0.457  -9.999
  1820     6  -9.999  -0.459  -9.999
  1820     7  -9.999  -0.447  -9.999
  1820     8  -9.999   0.185  -9.999
  1820     9  -9.999  -0.221  -9.999
  1820    10  -9.999  -0.519  -9.999
  1820    11  -9.999  -1.421  -9.999
  1820    12  -9.999  -2.313  -9.999
  1821     1  -9.999  -0.320  -9.999
  1821     2  -9.999  -0.710  -9.999
  1821     3  -9.999  -0.827  -9.999
  1821     4  -9.999   1.036  -9.999
  1821     5  -9.999  -0.135  -9.999
  1821     6  -9.999  -2.187  -9.999
  1821     7  -9.999  -1.227  -9.999
  1821     8  -9.999  -0.711  -9.999
  1821     9  -9.999   0.101  -9.999
  1821    10  -9.999   0.393  -9.999
  1821    11  -9.999   0.466  -9.999
  1821    12  -9.999   1.425  -9.999
  1822     1  -9.999   1.275  -9.999
  1822     2  -9.999   3.198  -9.999
  1822     3  -9.999   3.249  -9.999
  1822     4  -9.999   1.505  -9.999
  1822     5  -9.999   0.523  -9.999
  1822     6  -9.999   0.593  -9.999
  1822     7  -9.999   0.337  -9.999
  1822     8  -9.999   0.065  -9.999
  1822     9  -9.999  -0.303  -9.999
  1822    10  -9.999   0.460  -9.999
  1822    11  -9.999   0.490  -9.999
  1822    12  -9.999  -1.184  -9.999
  1823     1  -9.999  -3.822  -9.999
  1823     2  -9.999  -1.078  -9.999
  1823     3  -9.999   0.552  -9.999
  1823     4  -9.999  -0.947  -9.999
  1823     5  -9.999   0.095  -9.999
  1823     6  -9.999   0.218  -9.999
  1823     7  -9.999  -0.245  -9.999
  1823     8  -9.999   0.539  -9.999
  1823     9  -9.999   0.039  -9.999
  1823    10  -9.999  -0.279  -9.999
  1823    11  -9.999  -1.172  -9.999
  1823    12  -9.999   0.100  -9.999
  1824     1  -9.999   0.984  -9.999
  1824     2  -9.999   1.213  -9.999
  1824     3  -9.999   0.314  -9.999
  1824     4  -9.999  -0.205  -9.999
  1824     5  -9.999  -0.773  -9.999
  1824     6  -9.999  -0.665  -9.999
  1824     7  -9.999  -0.230  -9.999
  1824     8  -9.999  -0.001  -9.999
  1824     9  -9.999   1.283  -9.999
  1824    10  -9.999  -0.461  -9.999
  1824    11  -9.999   0.371  -9.999
  1824    12  -9.999   1.731  -9.999
  1825     1  -9.999   1.791  -9.999
  1825     2  -9.999   0.043  -9.999
  1825     3  -9.999  -1.065  -9.999
  1825     4  -9.999  -0.209  -9.999
  1825     5  -9.999  -0.797  -9.999
  1825     6  -9.999   0.023  -9.999
  1825     7  -9.999  -0.331  -9.999
  1825     8  -9.999  -0.150  -9.999
  1825     9  -9.999   0.006  -9.999
  1825    10  -9.999  -0.031  -9.999
  1825    11  -9.999   0.718  -9.999
  1825    12  -9.999   0.680  -9.999
  1826     1  -9.999  -2.186  -9.999
  1826     2  -9.999   0.675  -9.999
  1826     3  -9.999   0.423  -9.999
  1826     4  -9.999  -0.375  -9.999
  1826     5  -9.999   0.122  -9.999
  1826     6  -9.999   0.644  -9.999
  1826     7  -9.999   1.715  -9.999
  1826     8  -9.999   1.423  -9.999
  1826     9  -9.999   0.421  -9.999
  1826    10  -9.999   0.435  -9.999
  1826    11  -9.999  -0.178  -9.999
  1826    12  -9.999   1.635  -9.999
  1827     1  -9.999  -0.202  -9.999
  1827     2  -9.999  -1.332  -9.999
  1827     3  -9.999   0.423  -9.999
  1827     4  -9.999   1.047  -9.999
  1827     5  -9.999   0.524  -9.999
  1827     6  -9.999   0.717  -9.999
  1827     7  -9.999   0.507  -9.999
  1827     8  -9.999  -0.132  -9.999
  1827     9  -9.999   0.144  -9.999
  1827    10  -9.999  -0.163  -9.999
  1827    11  -9.999  -1.198  -9.999
  1827    12  -9.999   0.482  -9.999
  1828     1  -9.999  -1.231  -9.999
  1828     2  -9.999  -1.015  -9.999
  1828     3  -9.999   0.199  -9.999
  1828     4  -9.999   0.029  -9.999
  1828     5  -9.999   0.432  -9.999
  1828     6  -9.999   1.213  -9.999
  1828     7  -9.999   0.706  -9.999
  1828     8  -9.999   0.258  -9.999
  1828     9  -9.999  -0.476  -9.999
  1828    10  -9.999  -0.415  -9.999
  1828    11  -9.999  -0.375  -9.999
  1828    12  -9.999  -0.710  -9.999
  1829     1  -9.999  -2.387  -9.999
  1829     2  -9.999  -2.630  -9.999
  1829     3  -9.999  -1.967  -9.999
  1829     4  -9.999  -1.044  -9.999
  1829     5  -9.999  -0.526  -9.999
  1829     6  -9.999  -0.361  -9.999
  1829     7  -9.999   0.287  -9.999
  1829     8  -9.999  -0.591  -9.999
  1829     9  -9.999  -0.125  -9.999
  1829    10  -9.999  -1.307  -9.999
  1829    11  -9.999  -2.583  -9.999
  1829    12  -9.999  -3.391  -9.999
  1830     1  -9.999  -1.866  -9.999
  1830     2  -9.999  -1.470  -9.999
  1830     3  -9.999  -0.281  -9.999
  1830     4  -9.999   0.327  -9.999
  1830     5  -9.999  -0.277  -9.999
  1830     6  -9.999   0.122  -9.999
  1830     7  -9.999   0.470  -9.999
  1830     8  -9.999   0.202  -9.999
  1830     9  -9.999  -0.474  -9.999
  1830    10  -9.999  -0.471  -9.999
  1830    11  -9.999   0.863  -9.999
  1830    12  -9.999   0.151  -9.999
  1831     1  -9.999  -1.902  -9.999
  1831     2  -9.999  -0.192  -9.999
  1831     3  -9.999  -0.456  -9.999
  1831     4  -9.999   0.696  -9.999
  1831     5  -9.999  -0.225  -9.999
  1831     6  -9.999   0.510  -9.999
  1831     7  -9.999   0.435  -9.999
  1831     8  -9.999  -0.278  -9.999
  1831     9  -9.999  -0.950  -9.999
  1831    10  -9.999   0.150  -9.999
  1831    11  -9.999  -0.974  -9.999
  1831    12  -9.999  -1.043  -9.999
  1832     1  -9.999  -0.320  -9.999
  1832     2  -9.999   0.438  -9.999
  1832     3  -9.999  -1.258  -9.999
  1832     4  -9.999  -0.801  -9.999
  1832     5  -9.999  -0.999  -9.999
  1832     6  -9.999  -0.823  -9.999
  1832     7  -9.999  -0.953  -9.999
  1832     8  -9.999  -0.715  -9.999
  1832     9  -9.999  -1.135  -9.999
  1832    10  -9.999  -0.368  -9.999
  1832    11  -9.999  -1.926  -9.999
  1832    12  -9.999  -1.801  -9.999
  1833     1  -9.999  -0.825  -9.999
  1833     2  -9.999   0.817  -9.999
  1833     3  -9.999  -1.708  -9.999
  1833     4  -9.999  -0.829  -9.999
  1833     5  -9.999   0.184  -9.999
  1833     6  -9.999   0.584  -9.999
  1833     7  -9.999  -0.273  -9.999
  1833     8  -9.999  -1.646  -9.999
  1833     9  -9.999  -0.563  -9.999
  1833    10  -9.999  -0.479  -9.999
  1833    11  -9.999   0.481  -9.999
  1833    12  -9.999  -0.462  -9.999
  1834     1  -9.999  -1.161  -9.999
